Applicant.ID,text
700,server cashier
702,none
708,waitress server
719,chaplain
728,cashier
732,manager
736,deli
737,clean mop flore damp trash wax sweep strong work ethic
739,none
753,busboy
758,fountain
759,none none
768,work study
769,none
770,none
772,data entry
773,sale associate
774,cashier
779,busser
780,sales man
782,none
785,painter
786,cleaner
788,crew member
789,sales representative
793,assistant party planner
796,none
801,server
805,barista
808,waiter
816,fast food kitchen
820,logisitics
825,cargo department
841,field manager cashier courtesy clerk
844,accountant assistant
851,volunteer
860,none
861,none
864,package handler
867,care giver green keeper electronic technician sales agent mail carrier chef book keeper customer service rep driver
868,cashier
871,customer service
877,costumer service
879,home heath aide
880,nurse secretary assistant
894,community service specialist
909,executive director
911,volunteer
920,administrative assistant
922,delivery boy summer teacher assistant
933,none
937,beer specialist
938,server server server host receptionist customer service rep
943,server
950,corporate accountant
952,sub
955,musician teacher
959,server host foodrunner busser
967,receptionist
977,none
978,rachel aviles
979,coordinator
984,none
985,none
988,none
991,barber
998,food pack clerk
999,day site supervisor
1001,sales associate
1003,market representative
1004,sales representative store model
1005,none
1018,nurse
1038,none
1042,temp worker
1043,operations clerk
1049,cook
1052,merchandiser
1054,none
1058,none
1070,student worker
1079,secretary
1080,read alliance
1097,recruiter
1104,counselor
1105,none
1110,contract administrator
1111,none
1122,cashier
1127,delivery boy
1141,cashier baker
1146,server
1147,financial youth educator teller
1151,crew memeber dishwasher
1154,waitress
1162,supply clerk
1166,none
1171,waitress
1179,child care
1183,non
1184,sound mixer
1190,none
1196,server
1200,none
1201,none
1210,part time instructor currently unemployed server host line cook customer service rep train community relations
1214,receptionist office assistant
1216,cleaner
1217,server
1218,none
1219,principal dancer
1229,party coach
1231,assistant manager
1237,seller
1238,server
1242,server
1245,bartender server
1251,part time fine arts travel retail
1255,front desk
1259,graphic designer
1261,none
1265,leonardo cavello senior center
1267,cashier
1268,menetal health residential counselor
1269,none
1270,none
1271,assistance manager
1275,
1280,apprentice environmental engineer
1282,internship volunteer
1283,none
1287,cashier
1299,none
1300,none
1301,office assistant
1304,cook
1308,commissioner menteri olahraga
1309,registrar transcript office registrar
1315,none
1316,dishwasher
1331,office assistant
1333,clerk cashier
1334,food clerk
1335,none
1342,server greeter
1344,ticket taker usher
1352,none
1359,none
1362,none
1366,poolside server
1372,none
1373,script writer
1376,server
1379,none
1382,none
1383,receptionist
1386,none
1388,computer assembly
1398,none
1399,none
1400,activity assistant
1403,medical record assistant sales associate
1410,gentle giant mover
1414,none
1419,cashier
1421,cashier
1422,none
1432,none
1439,softrax revenue recognition specialist
1441,serve clean
1442,test test test test
1444,none
1450,office manager office manager
1452,distributor interpreter
1454,teachers assistant
1457,retail sales associate
1458,associate associate
1460,regional sales executive inside sales
1462,production
1466,none
1473,none
1475,sales associate
1478,food beverage quick service
1481,food preparer
1487,account recievable clerk
1488,attorney
1490,bartender host cashier
1496,server
1497,account
1499,none
1500,merchandise handler cashier
1501,account payable manager
1502,cashier
1507,waitress intern
1510,warehouse
1517,none
1520,server
1524,sales stock room personal trainer gymnastics coach floor sales stock room assistant manager personal trainer group class instructor
1530,secretary
1532,server
1540,server
1547,shop manager
1548,none
1549,peer educator shift manager
1552,none
1555,
1556,summer camp counselor volunteer work pharmacy food service volunteer grind crew
1562,medical assistant womens practice gyn medical assistant psr pediatrics cafe server cater
1570,server
1571,personal asst jewelery designer
1576,server
1577,sales associate sales operator
1580,personal assistant
1592,prep
1596,customer service
1598,manager intern
1604,cashier
1606,none
